seqname	source	feature	start	end	score	strand	frame	attribute
SIRV5	nexons	transcript	1149	11134	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7326:7700-7762:7871-8016:8278-8381:8455-8585:10859-10991:11134
SIRV5	nexons	transcript	1149	3484	95	+	0	transcript_id SIRV507; gene_id SIRV5; splicePattern 1149:1926-2033:2120-2156:2271-2315:3299-3404:3484
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3404:3484-3643:5381-5470:5570-5626:6112-6169:6328-6452:6827-6957:7145-7307:7682-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2332:3314-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	13606	13606	100	+	0	transcript_id SIRV504; gene_id SIRV5; splicePattern 13606
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2171:3281-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7307:7682-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	8585	10859	100	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 8585:10859
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7332:7715-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7685-7776:7888-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2156:2274-2315:3299-3404:3484-3643:5381-5450:5544-5607:6092-6169:6328-6452:6827-6957:7145-7307:7685-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	1988	200	+	0	transcript_id SIRV506; gene_id SIRV5; splicePattern 1149:1988
SIRV5	nexons	transcript	1149	10859	94	+	0	transcript_id SIRV508; gene_id SIRV5; splicePattern 1149:1988-2033:2120-2156:2271-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	11134	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7307:7682-7762:7871-8016:8280-8352:8429-8585:10859-10991:11134
SIRV5	nexons	transcript	1149	10859	2	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2047:2265-2488:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8016:8280-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	11134	93	+	0	transcript_id SIRV510; gene_id SIRV5; splicePattern 1149:1988-2033:2120-2156:2271-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7307:7682-7762:7871-8016:8278-8381:8455-8585:10859-10991:11134
SIRV5	nexons	transcript	1149	11134	40	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1154:1987-2040:2123-2156:2274-2315:3299-3409:3484-3643:5381-5450:5544
SIRV5	nexons	transcript	1149	11134	23	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1988-2033:2120-2156:2271-2315:3299-3404:3484
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2156:2271-2488:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6941:7135-7307:7682-7762:7871-8016:8280-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	10859	92	+	0	transcript_id SIRV505; gene_id SIRV5; splicePattern 1149:1988-2033:2120-2156:2271-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7307:7682-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	2406	2406	100	+	0	transcript_id SIRV512; gene_id SIRV5; splicePattern 2406
SIRV5	nexons	transcript	1149	10884	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8381:8455-8608:10884
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2047:2265-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7276:7656-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	10859	96	+	0	transcript_id SIRV502; gene_id SIRV5; splicePattern 1149:1988-2033:2120-2156:2271-2488:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8016:8278-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2488:3299-3404:3484-3643:5381-5450:5544-5607:6092-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8016:8280-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	3484	4	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1926-2047:2265-2315:3299-3404:3484
SIRV5	nexons	transcript	1149	10859	3	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2047:2265-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7307:7682-7776:7881-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	10859	2	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:3281-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	1181	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1181:2120-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8016:8280-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	11134	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7276:7656-7762:7871-8016:8280-8381:8455-8585:10859-10991:11134
SIRV5	nexons	transcript	1149	11134	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3435:3508-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7307:7682-7762:7871-8016:8280-8381:8455-8585:10859-10991:11134
SIRV5	nexons	transcript	1149	10859	1	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1986-2033:2120-2162:2274-2315:3299-3384:3463-3643:5381-5450:5544-5626:6112-6169:6328-6452:6659-6722:6827-6957:7145-7307:7682-7762:7871-8381:8455-8585:10859
SIRV5	nexons	transcript	1149	11134	3	+	0	transcript_id unknown; gene_id SIRV5; splicePattern 1149:1988-2047:2265-2315:3299-3404:3484-3643:5381-5450:5544-5626:6112-6169:6328-6452:6827-6957:7145-7307:7682-7762:7871-8016:8280-8381:8455-8585:10859-10991:11134
SIRV5	nexons	transcript	8381	11312	100	+	0	transcript_id SIRV509; gene_id SIRV5; splicePattern 8381:8455-8585:10859-10991:11312
